Claim_Probability,Predicted_Severity,Risk_Based_Premium
0.0,4264.638,0.0
0.0,7423.06,0.0
0.0,19355.66,0.0
0.0,5573.6636,0.0
0.0,4744.2676,0.0
0.0,2644.8452,0.0
0.0,47429.92,0.0
0.0,881.0071,0.0
0.0,3940.3481,0.0
0.0,4659.5786,0.0
0.0,2787.7495,0.0
0.0,9334.433,0.0
0.0,5022.83,0.0
0.0,2724.1343,0.0
0.0,5389.885,0.0
0.0,22583.795,0.0
0.0,40775.117,0.0
0.0,57632.887,0.0
0.0,2796.9749,0.0
0.0,34489.25,0.0
0.0,1755.5151,0.0
0.0,25667.49,0.0
0.0,22574.47,0.0
0.0,35900.426,0.0
0.0,2617.781,0.0
0.0,1749.1924,0.0
0.0,1472.0929,0.0
0.0,32824.03,0.0
0.0,4551.1855,0.0
0.0,2943.9534,0.0
0.0,25319.227,0.0
0.0,2397.4478,0.0
0.0,3756.9448,0.0
0.0,6464.2505,0.0
0.0,3959.1294,0.0
0.0,2808.4954,0.0
0.0,1670.653,0.0
0.0,4360.1655,0.0
0.0,3914.0874,0.0
0.0,3750.8726,0.0
0.1779585969585969,-286.98822,-63.84002626634803
0.0,5337.585,0.0
0.0,2614.3748,0.0
0.0,31088.838,0.0
0.0,3835.9155,0.0
0.0,984.95337,0.0
0.0,13647.454,0.0
0.0,8726.641,0.0
0.0,11154.507,0.0
0.0,7498.607,0.0
0.0,9363.35,0.0
0.0,3354.992,0.0
0.0,6174.391,0.0
0.0,5485.4243,0.0
0.0,46359.684,0.0
0.0,6566.5127,0.0
0.0,4550.9863,0.0
0.0,326.62183,0.0
0.0,1051.9031,0.0
0.0,1356.1278,0.0
0.0,14873.284,0.0
0.0,33016.727,0.0
0.0,582.80774,0.0
0.0,1824.811,0.0
0.0,1933.475,0.0
0.0,8241.541,0.0
0.0,3490.9734,0.0
0.0,17704.129,0.0
0.0,-815.6218,-0.0
0.0,2963.7695,0.0
0.0,7839.9883,0.0
0.0,11791.876,0.0
0.0,5182.3965,0.0
0.0,6797.206,0.0
0.0,4504.91,0.0
